Date,Rate,High (est),Low (est)
1999-11-19,1987.75,0.0,0.0
1999-11-22,1986.58,0.0,0.0
1999-11-23,1967.19,1991.6,1943.1
1999-11-24,1957.58,1980.6,1934.8
1999-11-25,1952.72,1976.3,1929.4
1999-11-26,1955.37,0.0,0.0
1999-11-29,1948.66,0.0,0.0
1999-11-30,1943.31,1965.2,1921.6
1999-12-01,1939.6,1963.4,1916.1
1999-12-02,1931.72,1955.4,1908.3
1999-12-03,1929.74,1953.3,1906.4
1999-12-06,1954.31,0.0,0.0
1999-12-07,1958.87,1980.8,1937.2
1999-12-08,1951.73,0.0,0.0
1999-12-09,1937.61,0.0,0.0
1999-12-10,1930.14,1952.1,1908.4
1999-12-13,1911.64,1933.7,1889.8
1999-12-14,1887.14,1910.6,1863.9
1999-12-15,1897.38,1920.6,1874.4
1999-12-16,1907.16,1930.9,1883.7
1999-12-17,1894.68,1915.7,1873.9
1999-12-20,1897.42,1919.8,1875.3
1999-12-21,1901.96,1925.4,1878.8
1999-12-22,1895.36,1918.6,1872.5
1999-12-23,1897.79,1919.8,1876.0
1999-12-24,1901.98,0.0,0.0
1999-12-27,1899.16,0.0,0.0
1999-12-28,1888.21,1911.0,1865.7
1999-12-29,1885.54,1907.4,1863.9
1999-12-30,1885.54,0.0,0.0
1999-12-31,1888.26,1911.2,1865.5
2000-01-03,1917.26,1940.2,1894.6
2000-01-04,1954.55,0.0,0.0
2000-01-05,1970.38,1993.1,1947.9
2000-01-06,1968.92,1992.0,1946.1
2000-01-07,1962.75,1985.5,1940.3
2000-01-10,1952.82,1976.8,1929.2
2000-01-11,1961.58,1984.0,1939.4
2000-01-12,1966.07,0.0,0.0
2000-01-13,1962.57,1984.3,1941.0
2000-01-14,1954.47,1976.4,1932.8
2000-01-17,1947.93,1969.8,1926.3
2000-01-18,1955.4,0.0,0.0
2000-01-19,1964.35,1986.0,1943.0
2000-01-20,1966.44,1989.2,1944.0
2000-01-21,1959.63,1983.0,1936.6
2000-01-24,1955.45,1977.5,1933.7
2000-01-25,1951.9,0.0,0.0
2000-01-26,1961.45,1984.1,1939.0
2000-01-27,1959.99,1983.3,1936.9
2000-01-28,1932.7,1954.8,1910.8
2000-01-31,1918.43,1941.8,1895.4
2000-02-01,1914.93,0.0,0.0
2000-02-02,1918.0,1940.4,1895.9
2000-02-03,1924.68,0.0,0.0
2000-02-04,1923.31,1944.6,1902.2
2000-02-07,1915.23,0.0,0.0
2000-02-08,1918.64,0.0,0.0
2000-02-09,1933.23,1956.7,1910.0
2000-02-10,1927.28,0.0,0.0
2000-02-11,1924.16,0.0,0.0
2000-02-14,1917.94,1939.2,1896.9
2000-02-15,1911.9,0.0,0.0
2000-02-16,1916.28,1938.1,1894.7
2000-02-17,1921.05,0.0,0.0
2000-02-18,1917.14,1938.8,1895.7
2000-02-21,1916.99,1940.6,1893.7
2000-02-22,1936.15,0.0,0.0
2000-02-23,1950.01,0.0,0.0
2000-02-24,1940.59,0.0,0.0
2000-02-25,1909.92,1933.5,1886.7
2000-02-28,1894.26,1915.7,1873.1
2000-02-29,1884.59,0.0,0.0
2000-03-01,1891.4,1914.1,1869.0
2000-03-02,1893.16,1916.0,1870.6
2000-03-03,1886.63,1908.2,1865.4
2000-03-06,1886.56,1907.4,1865.9
2000-03-07,1886.7,0.0,0.0
2000-03-08,1885.18,1906.6,1864.0
2000-03-09,1890.7,0.0,0.0
2000-03-10,1890.06,1911.0,1869.3
2000-03-13,1887.22,0.0,0.0
2000-03-14,1890.79,1913.2,1868.7
2000-03-15,1892.29,1914.5,1870.3
2000-03-16,1893.41,1916.0,1871.1
2000-03-17,1898.47,0.0,0.0
2000-03-20,1902.77,0.0,0.0
2000-03-21,1895.46,1916.7,1874.5
2000-03-22,1882.71,1905.6,1860.1
2000-03-23,1891.19,1913.4,1869.2
2000-03-24,1905.43,0.0,0.0
2000-03-27,1898.71,1921.2,1876.5
2000-03-28,1884.09,1905.8,1862.6
2000-03-29,1863.59,1885.5,1841.9
2000-03-30,1870.48,1891.9,1849.3
